severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	resolution	tags	closeDate	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-02-16T17:44:01+0000		80.0		python:S116	BNumMet	2min		"Rename this field ""outMsg"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-02-16T17:44:01+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/LUVisualizer.py		MAIN	{startLine=80.0, endLine=80.0, startOffset=13.0, endOffset=19.0}	2min	AYZbVNn7WVSbT6EWerke	792468807b6befb148af7655e17e7db7	OPEN
MINOR	2023-02-16T17:44:01+0000		85.0		python:S116	BNumMet	2min		"Rename this field ""rankResult"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-02-16T17:44:01+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/LUVisualizer.py		MAIN	{startLine=85.0, endLine=85.0, startOffset=13.0, endOffset=23.0}	2min	AYZbVNn7WVSbT6EWerkf	352d7d316a35295f59bce00d272d3786	OPEN
MAJOR	2023-02-17T07:28:35+0000		214.0		python:S1871	BNumMet	10min		"Either merge this branch with the identical one on line ""197"" or change one of the implementations."	2023-02-16T17:44:01+0000	CODE_SMELL	false	-	"design / suspicious / "	-	BNumMet:src/BNumMet/Visualizers/LUVisualizer.py	"{locations=[{component=BNumMet:src/BNumMet/Visualizers/LUVisualizer.py, textRange={startLine=197.0, endLine=198.0, startOffset=20.0, endOffset=73.0}, msg=Original, msgFormattings=[]}]} / "	MAIN	{startLine=214.0, endLine=215.0, startOffset=20.0, endOffset=73.0}	10min	AYZbVNn7WVSbT6EWerkg	98fab28736146f70f8717e85d9ecb6f5	OPEN
MINOR	2023-02-17T07:28:35+0000		-		python:S100	BNumMet	5min		"Rename method ""updateOutput"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-02-16T17:44:01+0000	CODE_SMELL	false	FIXED	"convention / "	2023-02-17T07:28:35+0000	BNumMet:src/BNumMet/Visualizers/LUVisualizer.py		MAIN	{startLine=221.0, endLine=221.0, startOffset=8.0, endOffset=20.0}	5min	AYZbVNn7WVSbT6EWerkh	71912492bd56e9d4bb4bec8987412b46	CLOSED
CRITICAL	2023-02-17T07:28:35+0000		-		python:S1192	BNumMet	6min		"Define a constant instead of duplicating this literal ""Only data"" 3 times."	2023-02-16T17:44:01+0000	CODE_SMELL	false	FIXED	"design / "	2023-02-17T07:28:35+0000	BNumMet:src/BNumMet/Visualizers/LeastSquaresVisualizer.py	"{locations=[{component=BNumMet:src/BNumMet/Visualizers/LeastSquaresVisualizer.py, textRange={startLine=39.0, endLine=39.0, startOffset=18.0, endOffset=29.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/LeastSquaresVisualizer.py, textRange={startLine=131.0, endLine=131.0, startOffset=28.0, endOffset=39.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=38.0, endLine=38.0, startOffset=21.0, endOffset=32.0}	6min	AYZbVNnkWVSbT6EWerkN	12348f153cd74327c6ae9fd1ac3c3b76	CLOSED
MINOR	2023-02-12T16:05:28+0000		166.0		python:S117	BNumMet	2min		"Rename this parameter ""A"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T16:05:28+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/LinearSystems.py		MAIN	{startLine=166.0, endLine=166.0, startOffset=25.0, endOffset=26.0}	2min	AYZGYOuMK3-6EP2jdlGs	88e4af42bff6ec225c9ef13ff5c86496	OPEN
MINOR	2023-02-12T16:05:28+0000		220.0		python:S117	BNumMet	2min		"Rename this parameter ""A"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T16:05:28+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/LinearSystems.py		MAIN	{startLine=220.0, endLine=220.0, startOffset=26.0, endOffset=27.0}	2min	AYZGYOuMK3-6EP2jdlGt	b9fc7551853337618d57d317d57c37c5	OPEN
MINOR	2023-02-12T16:05:28+0000		271.0		python:S117	BNumMet	2min		"Rename this parameter ""A"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T16:05:28+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/LinearSystems.py		MAIN	{startLine=271.0, endLine=271.0, startOffset=13.0, endOffset=14.0}	2min	AYZGYOuMK3-6EP2jdlGu	714fe6b139acd98db97c3c0c9bb8e921	OPEN
MINOR	2023-02-12T16:05:28+0000		295.0		python:S117	BNumMet	2min		"Rename this parameter ""A"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T16:05:28+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/LinearSystems.py		MAIN	{startLine=295.0, endLine=295.0, startOffset=21.0, endOffset=22.0}	2min	AYZGYOuMK3-6EP2jdlGv	716f070491d55880f3174d789b33f51e	OPEN
MINOR	2023-02-12T16:05:28+0000		347.0		python:S117	BNumMet	2min		"Rename this parameter ""A"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T16:05:28+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/LinearSystems.py		MAIN	{startLine=347.0, endLine=347.0, startOffset=13.0, endOffset=14.0}	2min	AYZGYOuMK3-6EP2jdlGw	89513b82e2b8841153e805865614fb27	OPEN
MINOR	2023-02-12T16:01:45+0000		148.0		python:S116	BNumMet	2min		"Rename this field ""Toolbar"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-02-12T16:01:45+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=148.0, endLine=148.0, startOffset=13.0, endOffset=20.0}	2min	AYZGXX8vK3-6EP2jdk5j	154fbc6ed1542cd4059f2c90b1793709	OPEN
MINOR	2023-02-17T07:28:35+0000		-		python:S117	BNumMet	2min		"Rename this local variable ""fX"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T16:01:45+0000	CODE_SMELL	false	FIXED	"convention / "	2023-02-17T07:28:35+0000	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=499.0, endLine=499.0, startOffset=8.0, endOffset=10.0}	2min	AYZGXX8vK3-6EP2jdk5k	fdcc6b8935ca268e2e51e612ba371107	CLOSED
MINOR	2023-02-17T07:28:35+0000		-		python:S117	BNumMet	2min		"Rename this local variable ""yminMax"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T16:01:45+0000	CODE_SMELL	false	FIXED	"convention / "	2023-02-17T07:28:35+0000	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=500.0, endLine=500.0, startOffset=8.0, endOffset=15.0}	2min	AYZGXX8vK3-6EP2jdk5l	62b6e19ab433585d836c8ece7148d3a0	CLOSED
