severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-04-10T08:06:31+0000		643.0		python:S3776	BNumMet	7min		Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.	2023-04-10T08:06:31+0000	CODE_SMELL	false	"brain-overload / "	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py	"{locations=[{component=BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py, textRange={startLine=660.0, endLine=660.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py, textRange={startLine=660.0, endLine=660.0, startOffset=59.0, endOffset=61.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py, textRange={startLine=680.0, endLine=680.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py, textRange={startLine=685.0, endLine=685.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py, textRange={startLine=697.0, endLine=697.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py, textRange={startLine=699.0, endLine=699.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py, textRange={startLine=706.0, endLine=706.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py, textRange={startLine=708.0, endLine=708.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py, textRange={startLine=714.0, endLine=714.0, startOffset=17.0, endOffset=19.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py, textRange={startLine=720.0, endLine=720.0, startOffset=17.0, endOffset=19.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py, textRange={startLine=723.0, endLine=723.0, startOffset=21.0, endOffset=23.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py, textRange={startLine=727.0, endLine=727.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py, textRange={startLine=729.0, endLine=729.0, startOffset=10.0, endOffset=13.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py, textRange={startLine=730.0, endLine=730.0, startOffset=30.0, endOffset=32.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py, textRange={startLine=731.0, endLine=731.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / "	MAIN	{startLine=643.0, endLine=643.0, startOffset=8.0, endOffset=25.0}	7min	AYdqNW-_MpHbrmvoaFQ_	d4b9a490fc61814676150fce0d6726f9	OPEN
MINOR	2023-04-10T08:06:31+0000		60.0		python:S117	BNumMet	2min		"Rename this parameter ""U"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-04-10T08:06:31+0000	CODE_SMELL	false	"convention / "	BNumMet:src/BNumMet/module.py		MAIN	{startLine=60.0, endLine=60.0, startOffset=22.0, endOffset=23.0}	2min	AYdqNW-BMpHbrmvoaFQ-	fa725c9b4af73c666f4d5acc7d30ae12	OPEN
MINOR	2023-04-10T08:06:31+0000		60.0		python:S117	BNumMet	2min		"Rename this parameter ""A"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-04-10T08:06:31+0000	CODE_SMELL	false	"convention / "	BNumMet:src/BNumMet/module.py		MAIN	{startLine=60.0, endLine=60.0, startOffset=25.0, endOffset=26.0}	2min	AYdqNW-BMpHbrmvoaFQ7	fa725c9b4af73c666f4d5acc7d30ae12	OPEN
MINOR	2023-04-10T08:06:31+0000		60.0		python:S117	BNumMet	2min		"Rename this parameter ""L"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-04-10T08:06:31+0000	CODE_SMELL	false	"convention / "	BNumMet:src/BNumMet/module.py		MAIN	{startLine=60.0, endLine=60.0, startOffset=19.0, endOffset=20.0}	2min	AYdqNW-BMpHbrmvoaFQ8	fa725c9b4af73c666f4d5acc7d30ae12	OPEN
MINOR	2023-04-10T08:06:31+0000		60.0		python:S117	BNumMet	2min		"Rename this parameter ""P"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-04-10T08:06:31+0000	CODE_SMELL	false	"convention / "	BNumMet:src/BNumMet/module.py		MAIN	{startLine=60.0, endLine=60.0, startOffset=16.0, endOffset=17.0}	2min	AYdqNW-BMpHbrmvoaFQ9	fa725c9b4af73c666f4d5acc7d30ae12	OPEN
CRITICAL	2023-02-17T07:28:35+0000		49.0		python:S1192	BNumMet	6min		"Define a constant instead of duplicating this literal ""Only data"" 3 times."	2023-02-17T07:28:35+0000	CODE_SMELL	false	"design / "	BNumMet:src/BNumMet/Visualizers/LeastSquaresVisualizer.py	"{locations=[{component=BNumMet:src/BNumMet/Visualizers/LeastSquaresVisualizer.py, textRange={startLine=54.0, endLine=54.0, startOffset=18.0, endOffset=29.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/Visualizers/LeastSquaresVisualizer.py, textRange={startLine=162.0, endLine=162.0, startOffset=29.0, endOffset=40.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=49.0, endLine=49.0, startOffset=16.0, endOffset=27.0}	6min	AYZeR7u0WIESQszhsA2E	68fce266f64907e1ad7c5ffefbdb9ed8	OPEN
MINOR	2023-02-12T16:05:28+0000		276.0		python:S117	BNumMet	2min		"Rename this parameter ""A"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T16:05:28+0000	CODE_SMELL	false	"convention / "	BNumMet:src/BNumMet/LinearSystems.py		MAIN	{startLine=276.0, endLine=276.0, startOffset=13.0, endOffset=14.0}	2min	AYZGYOuMK3-6EP2jdlGu	714fe6b139acd98db97c3c0c9bb8e921	OPEN
MINOR	2023-02-12T16:05:28+0000		300.0		python:S117	BNumMet	2min		"Rename this parameter ""A"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T16:05:28+0000	CODE_SMELL	false	"convention / "	BNumMet:src/BNumMet/LinearSystems.py		MAIN	{startLine=300.0, endLine=300.0, startOffset=21.0, endOffset=22.0}	2min	AYZGYOuMK3-6EP2jdlGv	716f070491d55880f3174d789b33f51e	OPEN
MINOR	2023-02-12T16:05:28+0000		352.0		python:S117	BNumMet	2min		"Rename this parameter ""A"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T16:05:28+0000	CODE_SMELL	false	"convention / "	BNumMet:src/BNumMet/LinearSystems.py		MAIN	{startLine=352.0, endLine=352.0, startOffset=13.0, endOffset=14.0}	2min	AYZGYOuMK3-6EP2jdlGw	89513b82e2b8841153e805865614fb27	OPEN
CRITICAL	2023-02-12T15:52:22+0000		211.0		python:S3776	BNumMet	24min		Refactor this function to reduce its Cognitive Complexity from 34 to the 15 allowed.	2023-02-12T15:52:22+0000	CODE_SMELL	false	"brain-overload / "	BNumMet:src/BNumMet/NonLinear.py	"{locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=236.0, endLine=236.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=243.0, endLine=243.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=255.0, endLine=255.0, startOffset=4.0, endOffset=9.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=255.0, endLine=255.0, startOffset=36.0, endOffset=39.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=259.0, endLine=259.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=259.0, endLine=259.0, startOffset=30.0, endOffset=32.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=263.0, endLine=263.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=266.0, endLine=266.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=270.0, endLine=270.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=278.0, endLine=278.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=280.0, endLine=280.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=287.0, endLine=287.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=287.0, endLine=287.0, startOffset=54.0, endOffset=57.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=290.0, endLine=290.0, startOffset=45.0, endOffset=47.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=291.0, endLine=291.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=299.0, endLine=299.0, startOffset=15.0, endOffset=17.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=306.0, endLine=306.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=310.0, endLine=310.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=320.0, endLine=320.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=320.0, endLine=320.0, startOffset=13.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=322.0, endLine=322.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=324.0, endLine=324.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / "	MAIN	{startLine=211.0, endLine=211.0, startOffset=4.0, endOffset=16.0}	24min	AYZGVOA9K3-6EP2jdksH	f8bffdc2cfb90824ef7e801047bd3d72	OPEN
