Matrix Size,Submatrices,New Axis,Outer Product,Loop,scipy
500,0.41335,0.169461,0.117083,0.465405,0.018257
1000,2.563606,1.522018,1.110119,2.176568,0.03057
1500,8.535015,5.212411,3.8087,5.579113,0.069611
2000,20.30588,12.333257,9.134406,10.942175,0.132066
2500,39.145535,23.998247,17.653031,19.098659,0.216267
3000,68.789119,41.919219,31.590708,29.468995,0.42402
3500,106.423081,64.700578,47.661064,42.445734,0.447992
4000,157.028937,96.519873,70.584879,58.448117,0.603978
